Steering,Throttle
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,-1
-0.0,-1
-0.0,-1
-0.0,-1
-0.0,-1
-0.0,-1
-0.0,-1
-0.0,-1
-1.0,0
-0.0,0
-1.0,0
-1.0,0
-0.0,0
-0.0,0
-1.0,1
-1.0,0
-0.0,0
-1.0,1
-0.0,1
-1.0,1
-0.0,1
-0.0,1
-0.0,1
0.359,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
1.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
1.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,-1
-0.0,-1
-1.0,-1
-0.0,0
-1.0,1
-1.0,1
-1.0,1
-0.0,1
-1.0,1
-1.0,0
-1.0,0
-1.0,1
-0.0,1
-0.0,1
0.727,1
-0.0,1
-0.0,1
0.875,1
-0.0,1
-0.0,1
-1.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,-1
-0.0,-1
-0.0,-1
-0.0,-1
-0.556,-1
-0.556,0
-1.0,0
-0.0,0
-0.0,0
-0.0,1
-0.889,0
-0.0,0
-1.0,0
-0.0,1
-1.0,0
-0.23,0
-1.0,0
-1.0,0
-0.0,1
-1.0,1
-0.0,1
-0.897,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.167,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,0
-0.0,-1
-0.0,-1
1.0,-1
-0.0,0
0.781,1
-0.0,1
-0.0,1
-0.0,1
1.0,0
-0.0,0
1.0,0
0.195,0
1.0,0
0.062,0
1.0,0
0.586,0
1.0,1
1.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
0.117,0
-0.0,1
-0.0,1
1.0,0
0.617,0
0.234,1
-0.0,1
1.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
1.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
1.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.238,1
-0.0,1
-0.0,1
-0.0,1
-1.0,1
-0.0,1
-0.0,1
-0.0,1
-1.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.857,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.532,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
0.234,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,1
-0.0,0
-0.0,-1
-0.0,-1
-0.0,-1
-0.0,-1
-0.0,-1
-0.0,-1
-0.0,-1
-0.0,-1
1.0,0
-0.0,0
-0.0,0
-0.0,0
-0.0,0
1.0,0
-0.0,0
-0.0,0
1.0,1
-0.0,0
1.0,0
-0.0,1
-0.0,1
-0.0,1
0.688,1
-0.0,1
-0.0,0
-0.0,0
0.172,0
-0.0,1
0.617,1
-0.0,1
1.0,1
-0.0,0
