Previous State,New State
"[1.1680804852142352, -0.0, 17.68, -3.44]","[1.1680804852142352, 0.03, 17.68, -3.44]"
"[1.1680804852142352, 0.03, 17.68, -3.44]","[1.1680804852142352, 0.58, 17.72, -3.44]"
"[1.1680804852142352, 0.58, 17.72, -3.44]","[1.1680804852142352, 2.12, 17.99, -3.45]"
"[1.1680804852142352, 2.12, 17.99, -3.45]","[1.1680804852142352, 3.77, 18.57, -3.46]"
"[1.1680804852142352, 3.77, 18.57, -3.46]","[1.1680804852142352, 5.41, 19.49, -3.49]"
"[1.1680804852142352, 5.41, 19.49, -3.49]","[1.1680804852142352, 7.04, 20.74, -3.52]"
"[1.1680804852142352, 7.04, 20.74, -3.52]","[1.1680804852142352, 8.68, 22.31, -3.56]"
"[1.1680804852142352, 8.68, 22.31, -3.56]","[1.1680804852142352, 9.62, 24.14, -3.61]"
"[1.1680804852142352, 9.62, 24.14, -3.61]","[1.1680804852142352, 10.58, 26.16, -3.66]"
"[1.1680804852142352, 10.58, 26.16, -3.66]","[1.1680804852142352, 11.58, 28.38, -3.72]"
"[1.1680804852142352, 11.58, 28.38, -3.72]","[1.1680804852142352, 12.61, 30.8, -3.78]"
"[1.1680804852142352, 12.61, 30.8, -3.78]","[1.1680804852142352, 13.68, 33.43, -3.84]"
"[1.1680804852142352, 13.68, 33.43, -3.84]","[1.1680804852142352, 14.77, 36.28, -3.91]"
"[1.1680804852142352, 14.77, 36.28, -3.91]","[1.1680804852142352, 15.9, 39.34, -3.98]"
"[1.1680804852142352, 15.9, 39.34, -3.98]","[1.1680804852142352, 17.05, 42.64, -4.06]"
"[1.1680804852142352, 17.05, 42.64, -4.06]","[1.1680804852142352, 18.24, 46.16, -4.14]"
"[1.1680804852142352, 18.24, 46.16, -4.14]","[1.1680804852142352, 19.45, 49.94, -4.23]"
"[1.1680804852142352, 19.45, 49.94, -4.23]","[1.1680804852142352, 20.67, 53.95, -4.32]"
"[1.1680804852142352, 20.67, 53.95, -4.32]","[1.1680804852142352, 21.91, 58.21, -4.41]"
"[1.1680804852142352, 21.91, 58.21, -4.41]","[1.1680804852142352, 23.15, 62.72, -4.51]"
"[1.1680804852142352, 23.15, 62.72, -4.51]","[1.1680804852142352, 24.4, 67.47, -4.61]"
"[1.1680804852142352, 24.4, 67.47, -4.61]","[1.1680804852142352, 25.65, 72.47, -4.72]"
"[1.1680804852142352, 25.65, 72.47, -4.72]","[1.1680804852142352, 26.91, 77.73, -4.84]"
"[1.1680804852142352, 26.91, 77.73, -4.84]","[1.1680804852142352, 28.17, 83.24, -4.96]"
"[1.1680804852142352, 28.17, 83.24, -4.96]","[1.1680804852142352, 29.41, 88.99, -5.09]"
"[1.1680804852142352, 29.41, 88.99, -5.09]","[1.1680804852142352, 30.63, 95.0, -5.23]"
"[1.1680804852142352, 30.63, 95.0, -5.23]","[1.143284061850027, 31.8, 101.24, -5.31]"
"[1.143284061850027, 31.8, 101.24, -5.31]","[1.143284061850027, 32.91, 107.7, -5.38]"
"[1.143284061850027, 32.91, 107.7, -5.38]","[1.143284061850027, 33.98, 114.4, -5.44]"
"[1.143284061850027, 33.98, 114.4, -5.44]","[1.143284061850027, 35.0, 121.3, -5.5]"
"[1.143284061850027, 35.0, 121.3, -5.5]","[1.143284061850027, 35.98, 128.39, -5.57]"
"[1.143284061850027, 35.98, 128.39, -5.57]","[1.143284061850027, 36.92, 135.69, -5.64]"
"[1.143284061850027, 36.92, 135.69, -5.64]","[1.143284061850027, 37.82, 143.16, -5.72]"
"[1.143284061850027, 37.82, 143.16, -5.72]","[1.143284061850027, 38.16, 150.73, -5.8]"
"[1.143284061850027, 38.16, 150.73, -5.8]","[1.143284061850027, 39.03, 158.45, -5.86]"
"[1.143284061850027, 39.03, 158.45, -5.86]","[1.143284061850027, 39.87, 166.34, -5.87]"
"[1.143284061850027, 39.87, 166.34, -5.87]","[1.143284061850027, 40.69, 174.39, -5.86]"
"[1.143284061850027, 40.69, 174.39, -5.86]","[1.143284061850027, 41.46, 182.61, -5.84]"
"[1.143284061850027, 41.46, 182.61, -5.84]","[1.143284061850027, 42.23, 190.99, -5.81]"
"[1.143284061850027, 42.23, 190.99, -5.81]","[1.143284061850027, 42.96, 199.54, -5.75]"
"[1.143284061850027, 42.96, 199.54, -5.75]","[1.143284061850027, 43.68, 208.22, -5.66]"
"[1.143284061850027, 43.68, 208.22, -5.66]","[1.143284061850027, 44.36, 217.02, -5.57]"
"[1.143284061850027, 44.36, 217.02, -5.57]","[1.143284061850027, 45.02, 225.96, -5.48]"
"[1.143284061850027, 45.02, 225.96, -5.48]","[1.143284061850027, 45.67, 235.02, -5.4]"
"[1.143284061850027, 45.67, 235.02, -5.4]","[1.143284061850027, 46.26, 244.22, -5.31]"
"[1.143284061850027, 46.26, 244.22, -5.31]","[1.143284061850027, 46.37, 253.46, -5.22]"
"[1.143284061850027, 46.37, 253.46, -5.22]","[1.143284061850027, 46.99, 262.8, -5.12]"
"[1.143284061850027, 46.99, 262.8, -5.12]","[1.143284061850027, 47.59, 272.26, -5.03]"
"[1.143284061850027, 47.59, 272.26, -5.03]","[1.143284061850027, 48.16, 281.83, -4.93]"
"[1.143284061850027, 48.16, 281.83, -4.93]","[1.143284061850027, 48.73, 291.52, -4.83]"
"[1.143284061850027, 48.73, 291.52, -4.83]","[1.143284061850027, 49.27, 301.32, -4.73]"
"[1.143284061850027, 49.27, 301.32, -4.73]","[1.143284061850027, 49.8, 311.23, -4.62]"
"[1.143284061850027, 49.8, 311.23, -4.62]","[1.143284061850027, 50.32, 321.24, -4.52]"
"[1.143284061850027, 50.32, 321.24, -4.52]","[1.143284061850027, 50.82, 331.35, -4.41]"
"[1.143284061850027, 50.82, 331.35, -4.41]","[1.143284061850027, 51.3, 341.56, -4.31]"
"[1.143284061850027, 51.3, 341.56, -4.31]","[1.143284061850027, 51.77, 351.86, -4.22]"
"[1.143284061850027, 51.77, 351.86, -4.22]","[1.143284061850027, 52.23, 362.27, -4.13]"
"[1.143284061850027, 52.23, 362.27, -4.13]","[1.143284061850027, 52.53, 372.75, -4.03]"
"[1.143284061850027, 52.53, 372.75, -4.03]","[1.143284061850027, 50.31, 383.08, -3.93]"
"[1.143284061850027, 50.31, 383.08, -3.93]","[1.143284061850027, 47.11, 392.81, -3.83]"
"[1.143284061850027, 47.11, 392.81, -3.83]","[1.143284061850027, 43.98, 401.92, -3.75]"
"[1.143284061850027, 43.98, 401.92, -3.75]","[1.143284061850027, 40.71, 410.39, -3.67]"
"[1.143284061850027, 40.71, 410.39, -3.67]","[1.1197695149986342, 37.39, 418.21, -3.57]"
"[1.1197695149986342, 37.39, 418.21, -3.57]","[1.1197695149986342, 34.25, 425.38, -3.41]"
"[1.1197695149986342, 34.25, 425.38, -3.41]","[1.1197695149986342, 30.94, 431.9, -3.25]"
"[1.1197695149986342, 30.94, 431.9, -3.25]","[1.1197695149986342, 27.66, 437.75, -3.11]"
"[1.1197695149986342, 27.66, 437.75, -3.11]","[1.0973451695228305, 25.07, 442.96, -2.94]"
"[1.0973451695228305, 25.07, 442.96, -2.94]","[0.9791076843683526, 24.39, 447.78, -2.5]"
"[0.9791076843683526, 24.39, 447.78, -2.5]","[0.80380231893303, 23.69, 452.41, -1.68]"
"[0.80380231893303, 23.69, 452.41, -1.68]","[0.6310588407780213, 22.86, 456.94, -0.58]"
"[0.6310588407780213, 22.86, 456.94, -0.58]","[0.4555986733958234, 21.91, 461.2, 0.7]"
"[0.4555986733958234, 21.91, 461.2, 0.7]","[0.29422683774898245, 21.11, 465.46, 2.06]"
"[0.29422683774898245, 21.11, 465.46, 2.06]","[0.1606906529519106, 21.04, 469.95, 3.42]"
"[0.1606906529519106, 21.04, 469.95, 3.42]","[0.030004501823476935, 20.99, 474.88, 4.62]"
"[0.030004501823476935, 20.99, 474.88, 4.62]","[6.203099727145927, 20.54, 480.1, 5.5]"
"[6.203099727145927, 20.54, 480.1, 5.5]","[6.102198855933039, 21.55, 485.56, 5.88]"
"[6.102198855933039, 21.55, 485.56, 5.88]","[5.946881732025606, 22.43, 491.24, 5.72]"
"[5.946881732025606, 22.43, 491.24, 5.72]","[5.771095554245439, 23.15, 497.89, 4.91]"
"[5.771095554245439, 23.15, 497.89, 4.91]","[5.575600870454231, 23.47, 503.09, 3.77]"
"[5.575600870454231, 23.47, 503.09, 3.77]","[5.419872192164033, 23.63, 508.01, 2.51]"
"[5.419872192164033, 23.63, 508.01, 2.51]","[5.304077622811233, 23.99, 512.78, 1.39]"
"[5.304077622811233, 23.99, 512.78, 1.39]","[5.247915634699077, 24.78, 517.62, 0.65]"
"[5.247915634699077, 24.78, 517.62, 0.65]","[5.22798298663078, 26.11, 522.69, 0.39]"
"[5.22798298663078, 26.11, 522.69, 0.39]","[5.304077622811233, 27.23, 528.02, 0.3]"
"[5.304077622811233, 27.23, 528.02, 0.3]","[5.3723763097721875, 28.38, 533.57, -0.01]"
"[5.3723763097721875, 28.38, 533.57, -0.01]","[5.388519489945351, 29.67, 539.36, -0.52]"
"[5.388519489945351, 29.67, 539.36, -0.52]","[5.388519489945351, 30.86, 545.4, -1.01]"
"[5.388519489945351, 30.86, 545.4, -1.01]","[5.404344155511007, 31.95, 551.7, -1.39]"
"[5.404344155511007, 31.95, 551.7, -1.39]","[5.507787810568833, 32.87, 558.22, -1.92]"
"[5.507787810568833, 32.87, 558.22, -1.92]","[5.548976519726227, 33.89, 564.89, -2.73]"
"[5.548976519726227, 33.89, 564.89, -2.73]","[5.535422672519665, 34.9, 571.77, -3.66]"
"[5.535422672519665, 34.9, 571.77, -3.66]","[5.493687097833415, 35.83, 578.97, -4.24]"
"[5.493687097833415, 35.83, 578.97, -4.24]","[5.493687097833415, 36.75, 586.31, -4.48]"
"[5.493687097833415, 36.75, 586.31, -4.48]","[5.562366546309496, 37.3, 593.93, -4.63]"
"[5.562366546309496, 37.3, 593.93, -4.63]","[5.5886870415530305, 37.89, 601.5, -4.88]"
"[5.5886870415530305, 37.89, 601.5, -4.88]","[5.575600870454231, 38.76, 609.29, -5.11]"
"[5.575600870454231, 38.76, 609.29, -5.11]","[5.575600870454231, 39.58, 617.2, -5.25]"
"[5.575600870454231, 39.58, 617.2, -5.25]","[5.575600870454231, 40.41, 625.23, -5.31]"
"[5.575600870454231, 40.41, 625.23, -5.31]","[5.575600870454231, 41.19, 633.39, -5.35]"
"[5.575600870454231, 41.19, 633.39, -5.35]","[5.575600870454231, 41.94, 641.7, -5.39]"
"[5.575600870454231, 41.94, 641.7, -5.39]","[5.575600870454231, 42.68, 650.17, -5.43]"
"[5.575600870454231, 42.68, 650.17, -5.43]","[5.575600870454231, 43.38, 658.77, -5.47]"
