[0, 0]
[1, 1]
[2, 1]
[3, 1]
[4, 1]
[1, 2]
[2, 2]
[3, 2]
[4, 2]
[5, 2]
[6, 2]
[7, 2]
[1, 3]
[1, 5]
[1, 6]
[1, 7]
[2, 7]
[3, 7]
[4, 7]
[1, 8]
[2, 8]
[3, 8]
[1, 9]
[2, 9]
[3, 9]
[4, 9]
[5, 9]
[6, 9]
[7, 9]
[8, 9]
[9, 9]
[10, 9]
[11, 9]
[12, 9]
[13, 9]
[14, 9]
[15, 9]
[16, 9]
[1, 10]
[2, 10]
[3, 10]
[1, 11]
[2, 11]
[3, 11]
[4, 11]
[5, 11]
[6, 11]
[1, 13]
[2, 13]
[3, 13]
[1, 14]
[2, 14]
[3, 14]
[4, 14]
[5, 14]
[6, 14]
[1, 16]
[2, 16]
[3, 16]
[4, 16]
[5, 16]
[1, 17]
[2, 17]
[3, 17]
[1, 18]
[2, 18]
[1, 19]
[2, 19]
[3, 19]
[4, 19]
[5, 19]
[6, 19]
[7, 19]
[8, 19]
[9, 19]
[10, 19]
[11, 19]
[1, 20]
[2, 20]
[1, 21]
[1, 22]
[2, 22]
[3, 22]
[4, 22]
[1, 23]
[2, 23]
[3, 23]
[1, 24]
[2, 24]
[3, 24]
[4, 24]
[1, 25]
[2, 25]
[1, 26]
[2, 26]
[3, 26]
[1, 28]
[2, 28]
[3, 28]
[4, 28]
[1, 29]
[1, 30]
[2, 30]
[3, 30]
[4, 30]
[5, 30]
[1, 32]
[2, 32]
[1, 33]
[2, 33]
[1, 34]
[1, 35]
[2, 35]
[1, 36]
[2, 36]
[1, 37]
[2, 37]
[3, 37]
[4, 37]
[5, 37]
[6, 37]
[7, 37]
[8, 37]
[9, 37]
[10, 37]
[1, 39]
[2, 39]
[3, 39]
[1, 40]
[2, 40]
[3, 40]
[4, 40]
[1, 41]
[2, 41]
[3, 41]
[4, 41]
[1, 42]
[2, 42]
[3, 42]
[4, 42]
[5, 42]
[1, 43]
[2, 43]
[3, 43]
[4, 43]
[1, 44]
[2, 44]
[3, 44]
[4, 44]
[5, 44]
[6, 44]
[7, 44]
[1, 45]
[2, 45]
[1, 46]
[2, 46]
[3, 46]
[1, 47]
[2, 47]
[3, 47]
[4, 47]
[5, 47]
[1, 48]
[1, 49]
[2, 49]
[1, 50]
[2, 50]
[3, 50]
[4, 50]
[5, 50]
[6, 50]
[7, 50]
[8, 50]
[9, 50]
[10, 50]
[11, 50]
[12, 50]
[13, 50]
[14, 50]
[15, 50]
[1, 51]
[2, 51]
[3, 51]
[4, 51]
[1, 52]
[2, 52]
[3, 52]
[1, 53]
[2, 53]
[1, 54]
[2, 54]
[1, 56]
[1, 57]
[2, 57]
[3, 57]
[4, 57]
[5, 57]
[1, 58]
[2, 58]
[3, 58]
[1, 59]
[2, 59]
[1, 60]
[2, 60]
[3, 60]
[4, 60]
[5, 60]
[1, 61]
[1, 62]
[2, 62]
[1, 63]
[2, 63]
[3, 63]
[4, 63]
[5, 63]
[6, 63]
[7, 63]
[8, 63]
[9, 63]
[1, 64]
[2, 64]
[3, 64]
[4, 64]
[5, 64]
[6, 64]
[7, 64]
[8, 64]
[1, 66]
[1, 67]
[2, 67]
[3, 67]
[4, 67]
[5, 67]
[6, 67]
[1, 68]
[1, 69]
[2, 69]
[3, 69]
[4, 69]
[5, 69]
[6, 69]
[1, 70]
[2, 70]
[3, 70]
[1, 71]
[1, 72]
[2, 72]
[1, 73]
[2, 73]
[3, 73]
[4, 73]
[5, 73]
[6, 73]
[1, 76]
[2, 76]
[3, 76]
[4, 76]
[1, 77]
[2, 77]
[3, 77]
[4, 77]
[5, 77]
[6, 77]
[7, 77]
[8, 77]
[9, 77]
[1, 78]
[2, 78]
[3, 78]
[1, 79]
[2, 79]
