Previous State,New State
"[88.7, -132.32, 1.1680804852142352, -0.0, -0.01, 17.68, -3.44]","[88.7, -132.32, 1.1680804852142352, 0.03, 0.27, 17.68, -3.44]"
"[88.7, -132.32, 1.1680804852142352, 0.03, 0.27, 17.68, -3.44]","[88.68, -132.36, 1.1680804852142352, 0.58, 5.51, 17.72, -3.44]"
"[88.68, -132.36, 1.1680804852142352, 0.58, 5.51, 17.72, -3.44]","[88.58, -132.6, 1.1680804852142352, 2.12, 7.84, 17.99, -3.45]"
"[88.58, -132.6, 1.1680804852142352, 2.12, 7.84, 17.99, -3.45]","[88.34, -133.14, 1.1680804852142352, 3.77, 7.98, 18.57, -3.46]"
"[88.34, -133.14, 1.1680804852142352, 3.77, 7.98, 18.57, -3.46]","[87.98, -133.98, 1.1680804852142352, 5.41, 8.14, 19.49, -3.49]"
"[87.98, -133.98, 1.1680804852142352, 5.41, 8.14, 19.49, -3.49]","[87.48, -135.13, 1.1680804852142352, 7.04, 8.08, 20.74, -3.52]"
"[87.48, -135.13, 1.1680804852142352, 7.04, 8.08, 20.74, -3.52]","[86.85, -136.57, 1.1680804852142352, 8.68, 7.8, 22.31, -3.56]"
"[86.85, -136.57, 1.1680804852142352, 8.68, 7.8, 22.31, -3.56]","[86.12, -138.25, 1.1680804852142352, 9.62, 4.69, 24.14, -3.61]"
"[86.12, -138.25, 1.1680804852142352, 9.62, 4.69, 24.14, -3.61]","[85.32, -140.1, 1.1680804852142352, 10.58, 5.03, 26.16, -3.66]"
"[85.32, -140.1, 1.1680804852142352, 10.58, 5.03, 26.16, -3.66]","[84.44, -142.14, 1.1680804852142352, 11.58, 5.02, 28.38, -3.72]"
"[84.44, -142.14, 1.1680804852142352, 11.58, 5.02, 28.38, -3.72]","[83.48, -144.35, 1.1680804852142352, 12.61, 4.95, 30.8, -3.78]"
"[83.48, -144.35, 1.1680804852142352, 12.61, 4.95, 30.8, -3.78]","[82.43, -146.76, 1.1680804852142352, 13.68, 5.34, 33.43, -3.84]"
"[82.43, -146.76, 1.1680804852142352, 13.68, 5.34, 33.43, -3.84]","[81.29, -149.37, 1.1680804852142352, 14.77, 5.58, 36.28, -3.91]"
"[81.29, -149.37, 1.1680804852142352, 14.77, 5.58, 36.28, -3.91]","[80.07, -152.19, 1.1680804852142352, 15.9, 5.51, 39.34, -3.98]"
"[80.07, -152.19, 1.1680804852142352, 15.9, 5.51, 39.34, -3.98]","[78.76, -155.21, 1.1680804852142352, 17.05, 5.84, 42.64, -4.06]"
"[78.76, -155.21, 1.1680804852142352, 17.05, 5.84, 42.64, -4.06]","[77.36, -158.44, 1.1680804852142352, 18.24, 5.85, 46.16, -4.14]"
"[77.36, -158.44, 1.1680804852142352, 18.24, 5.85, 46.16, -4.14]","[75.86, -161.9, 1.1680804852142352, 19.45, 5.87, 49.94, -4.23]"
"[75.86, -161.9, 1.1680804852142352, 19.45, 5.87, 49.94, -4.23]","[74.26, -165.58, 1.1680804852142352, 20.67, 6.31, 53.95, -4.32]"
"[74.26, -165.58, 1.1680804852142352, 20.67, 6.31, 53.95, -4.32]","[72.57, -169.49, 1.1680804852142352, 21.91, 5.95, 58.21, -4.41]"
"[72.57, -169.49, 1.1680804852142352, 21.91, 5.95, 58.21, -4.41]","[70.78, -173.62, 1.1680804852142352, 23.15, 6.15, 62.72, -4.51]"
"[70.78, -173.62, 1.1680804852142352, 23.15, 6.15, 62.72, -4.51]","[68.89, -177.99, 1.1680804852142352, 24.4, 6.74, 67.47, -4.61]"
"[68.89, -177.99, 1.1680804852142352, 24.4, 6.74, 67.47, -4.61]","[66.91, -182.58, 1.1680804852142352, 25.65, 6.54, 72.47, -4.72]"
"[66.91, -182.58, 1.1680804852142352, 25.65, 6.54, 72.47, -4.72]","[64.82, -187.4, 1.1680804852142352, 26.91, 6.68, 77.73, -4.84]"
"[64.82, -187.4, 1.1680804852142352, 26.91, 6.68, 77.73, -4.84]","[62.64, -192.46, 1.1680804852142352, 28.17, 6.08, 83.24, -4.96]"
"[62.64, -192.46, 1.1680804852142352, 28.17, 6.08, 83.24, -4.96]","[60.35, -197.75, 1.1680804852142352, 29.41, 5.96, 88.99, -5.09]"
"[60.35, -197.75, 1.1680804852142352, 29.41, 5.96, 88.99, -5.09]","[57.97, -203.26, 1.1680804852142352, 30.63, 6.1, 95.0, -5.23]"
"[57.97, -203.26, 1.1680804852142352, 30.63, 6.1, 95.0, -5.23]","[55.45, -208.97, 1.143284061850027, 31.8, 5.35, 101.24, -5.31]"
"[55.45, -208.97, 1.143284061850027, 31.8, 5.35, 101.24, -5.31]","[52.8, -214.87, 1.143284061850027, 32.91, 5.02, 107.7, -5.38]"
"[52.8, -214.87, 1.143284061850027, 32.91, 5.02, 107.7, -5.38]","[50.07, -220.97, 1.143284061850027, 33.98, 5.27, 114.4, -5.44]"
"[50.07, -220.97, 1.143284061850027, 33.98, 5.27, 114.4, -5.44]","[47.25, -227.27, 1.143284061850027, 35.0, 4.91, 121.3, -5.5]"
"[47.25, -227.27, 1.143284061850027, 35.0, 4.91, 121.3, -5.5]","[44.36, -233.75, 1.143284061850027, 35.98, 4.46, 128.39, -5.57]"
"[44.36, -233.75, 1.143284061850027, 35.98, 4.46, 128.39, -5.57]","[41.39, -240.41, 1.143284061850027, 36.92, 4.81, 135.69, -5.64]"
"[41.39, -240.41, 1.143284061850027, 36.92, 4.81, 135.69, -5.64]","[38.34, -247.23, 1.143284061850027, 37.82, 4.36, 143.16, -5.72]"
"[38.34, -247.23, 1.143284061850027, 37.82, 4.36, 143.16, -5.72]","[35.26, -254.14, 1.143284061850027, 38.16, 4.21, 150.73, -5.8]"
"[35.26, -254.14, 1.143284061850027, 38.16, 4.21, 150.73, -5.8]","[32.1, -261.19, 1.143284061850027, 39.03, 4.25, 158.45, -5.86]"
"[32.1, -261.19, 1.143284061850027, 39.03, 4.25, 158.45, -5.86]","[28.82, -268.36, 1.143284061850027, 39.87, 3.87, 166.34, -5.87]"
"[28.82, -268.36, 1.143284061850027, 39.87, 3.87, 166.34, -5.87]","[25.44, -275.68, 1.143284061850027, 40.69, 4.06, 174.39, -5.86]"
"[25.44, -275.68, 1.143284061850027, 40.69, 4.06, 174.39, -5.86]","[22.0, -283.13, 1.143284061850027, 41.46, 3.95, 182.61, -5.84]"
"[22.0, -283.13, 1.143284061850027, 41.46, 3.95, 182.61, -5.84]","[18.49, -290.73, 1.143284061850027, 42.23, 3.64, 190.99, -5.81]"
"[18.49, -290.73, 1.143284061850027, 42.23, 3.64, 190.99, -5.81]","[14.93, -298.47, 1.143284061850027, 42.96, 3.98, 199.54, -5.75]"
"[14.93, -298.47, 1.143284061850027, 42.96, 3.98, 199.54, -5.75]","[11.3, -306.33, 1.143284061850027, 43.68, 3.87, 208.22, -5.66]"
"[11.3, -306.33, 1.143284061850027, 43.68, 3.87, 208.22, -5.66]","[7.63, -314.33, 1.143284061850027, 44.36, 3.48, 217.02, -5.57]"
"[7.63, -314.33, 1.143284061850027, 44.36, 3.48, 217.02, -5.57]","[3.9, -322.45, 1.143284061850027, 45.02, 3.24, 225.96, -5.48]"
"[3.9, -322.45, 1.143284061850027, 45.02, 3.24, 225.96, -5.48]","[0.11, -330.69, 1.143284061850027, 45.67, 2.71, 235.02, -5.4]"
"[0.11, -330.69, 1.143284061850027, 45.67, 2.71, 235.02, -5.4]","[-3.73, -339.05, 1.143284061850027, 46.26, -1.42, 244.22, -5.31]"
"[-3.73, -339.05, 1.143284061850027, 46.26, -1.42, 244.22, -5.31]","[-7.59, -347.44, 1.143284061850027, 46.37, 3.09, 253.46, -5.22]"
"[-7.59, -347.44, 1.143284061850027, 46.37, 3.09, 253.46, -5.22]","[-11.5, -355.92, 1.143284061850027, 46.99, 2.71, 262.8, -5.12]"
"[-11.5, -355.92, 1.143284061850027, 46.99, 2.71, 262.8, -5.12]","[-15.45, -364.51, 1.143284061850027, 47.59, 2.98, 272.26, -5.03]"
"[-15.45, -364.51, 1.143284061850027, 47.59, 2.98, 272.26, -5.03]","[-19.45, -373.2, 1.143284061850027, 48.16, 2.64, 281.83, -4.93]"
"[-19.45, -373.2, 1.143284061850027, 48.16, 2.64, 281.83, -4.93]","[-23.5, -382.0, 1.143284061850027, 48.73, 2.68, 291.52, -4.83]"
"[-23.5, -382.0, 1.143284061850027, 48.73, 2.68, 291.52, -4.83]","[-27.6, -390.9, 1.143284061850027, 49.27, 3.08, 301.32, -4.73]"
"[-27.6, -390.9, 1.143284061850027, 49.27, 3.08, 301.32, -4.73]","[-31.74, -399.9, 1.143284061850027, 49.8, 2.25, 311.23, -4.62]"
"[-31.74, -399.9, 1.143284061850027, 49.8, 2.25, 311.23, -4.62]","[-35.92, -408.99, 1.143284061850027, 50.32, 2.34, 321.24, -4.52]"
"[-35.92, -408.99, 1.143284061850027, 50.32, 2.34, 321.24, -4.52]","[-40.14, -418.18, 1.143284061850027, 50.82, 2.54, 331.35, -4.41]"
"[-40.14, -418.18, 1.143284061850027, 50.82, 2.54, 331.35, -4.41]","[-44.41, -427.46, 1.143284061850027, 51.3, 2.5, 341.56, -4.31]"
"[-44.41, -427.46, 1.143284061850027, 51.3, 2.5, 341.56, -4.31]","[-48.71, -436.82, 1.143284061850027, 51.77, 2.37, 351.86, -4.22]"
"[-48.71, -436.82, 1.143284061850027, 51.77, 2.37, 351.86, -4.22]","[-53.06, -446.26, 1.143284061850027, 52.23, 2.14, 362.27, -4.13]"
"[-53.06, -446.26, 1.143284061850027, 52.23, 2.14, 362.27, -4.13]","[-57.45, -455.78, 1.143284061850027, 52.53, -3.01, 372.75, -4.03]"
"[-57.45, -455.78, 1.143284061850027, 52.53, -3.01, 372.75, -4.03]","[-61.77, -465.15, 1.143284061850027, 50.31, -15.71, 383.08, -3.93]"
"[-61.77, -465.15, 1.143284061850027, 50.31, -15.71, 383.08, -3.93]","[-65.84, -473.99, 1.143284061850027, 47.11, -15.17, 392.81, -3.83]"
"[-65.84, -473.99, 1.143284061850027, 47.11, -15.17, 392.81, -3.83]","[-69.66, -482.27, 1.143284061850027, 43.98, -16.31, 401.92, -3.75]"
"[-69.66, -482.27, 1.143284061850027, 43.98, -16.31, 401.92, -3.75]","[-73.22, -489.95, 1.143284061850027, 40.71, -16.62, 410.39, -3.67]"
"[-73.22, -489.95, 1.143284061850027, 40.71, -16.62, 410.39, -3.67]","[-76.53, -497.02, 1.1197695149986342, 37.39, -16.24, 418.21, -3.57]"
"[-76.53, -497.02, 1.1197695149986342, 37.39, -16.24, 418.21, -3.57]","[-79.59, -503.49, 1.1197695149986342, 34.25, -16.75, 425.38, -3.41]"
"[-79.59, -503.49, 1.1197695149986342, 34.25, -16.75, 425.38, -3.41]","[-82.39, -509.38, 1.1197695149986342, 30.94, -16.24, 431.9, -3.25]"
"[-82.39, -509.38, 1.1197695149986342, 30.94, -16.24, 431.9, -3.25]","[-84.91, -514.66, 1.1197695149986342, 27.66, -16.26, 437.75, -3.11]"
"[-84.91, -514.66, 1.1197695149986342, 27.66, -16.26, 437.75, -3.11]","[-87.18, -519.38, 1.0973451695228305, 25.07, -6.6, 442.96, -2.94]"
"[-87.18, -519.38, 1.0973451695228305, 25.07, -6.6, 442.96, -2.94]","[-89.61, -523.67, 0.9791076843683526, 24.39, -2.33, 447.78, -2.5]"
"[-89.61, -523.67, 0.9791076843683526, 24.39, -2.33, 447.78, -2.5]","[-92.48, -527.53, 0.80380231893303, 23.69, -2.89, 452.41, -1.68]"
"[-92.48, -527.53, 0.80380231893303, 23.69, -2.89, 452.41, -1.68]","[-95.74, -530.87, 0.6310588407780213, 22.86, -2.75, 456.94, -0.58]"
"[-95.74, -530.87, 0.6310588407780213, 22.86, -2.75, 456.94, -0.58]","[-99.3, -533.61, 0.4555986733958234, 21.91, -1.92, 461.2, 0.7]"
"[-99.3, -533.61, 0.4555986733958234, 21.91, -1.92, 461.2, 0.7]","[-103.09, -535.69, 0.29422683774898245, 21.11, -1.65, 465.46, 2.06]"
"[-103.09, -535.69, 0.29422683774898245, 21.11, -1.65, 465.46, 2.06]","[-107.06, -537.11, 0.1606906529519106, 21.04, 3.19, 469.95, 3.42]"
"[-107.06, -537.11, 0.1606906529519106, 21.04, 3.19, 469.95, 3.42]","[-111.23, -537.86, 0.030004501823476935, 20.99, -2.74, 474.88, 4.62]"
"[-111.23, -537.86, 0.030004501823476935, 20.99, -2.74, 474.88, 4.62]","[-115.36, -537.91, 6.203099727145927, 20.54, 1.19, 480.1, 5.5]"
"[-115.36, -537.91, 6.203099727145927, 20.54, 1.19, 480.1, 5.5]","[-119.53, -537.39, 6.102198855933039, 21.55, 4.69, 485.56, 5.88]"
"[-119.53, -537.39, 6.102198855933039, 21.55, 4.69, 485.56, 5.88]","[-123.79, -536.33, 5.946881732025606, 22.43, 4.95, 491.24, 5.72]"
"[-123.79, -536.33, 5.946881732025606, 22.43, 4.95, 491.24, 5.72]","[-128.04, -534.65, 5.771095554245439, 23.15, 3.27, 497.89, 4.91]"
